date,eur_ret,usd_ret,dxy_ret,spy_ret,ewj_ret,vix_ret,ma50_usd,ma100_usd,ma200_usd,rsi14_usd,rsi7_usd,bb_width,macd,macd_signal,macd_hist,usd_vs_ma50,usd_vs_ma200,volatility,ret_ma5,volume_chg,true_range,atr14,candle_body,candle_range,upper_shadow,lower_shadow,is_doji,is_bullish_engulfing,is_bearish_engulfing,is_hammer,is_shooting_star,is_inverted_hammer,weekday,us10,jp10,rate_diff,open,close,high,low,actual,prob_up,forecast,result,pnl_yen
2014-02-17,0.001095610254912,0.0011791294094527,0.0,0.0,0.0,0.0,103.47,101.4129,100.2016,41.5156507413509,43.8596491228073,3.39692492518725,-0.409040861674811,-0.411777321089901,0.0027364594150904,-1.58,1.6884,0.0057905584453823,-0.0007012153141176,0.0,0.590000000000003,0.892142857142857,0.269999999999996,0.590000000000003,0.0799999999999983,0.240000000000009,0,0,0,0,False,0,0,2.75,0.586,2.164,101.9,102.35,102.73,101.82,rise,0.9161248207092285,rise,win,44999.999999998865
2014-02-18,0.0037209981030204,0.0045146726862301,-0.0018613308515588,0.001195522225845,0.0219683655536028,-0.0123957091775924,103.46,101.4561,100.202,50.6802721088435,49.7382198952878,2.90741628833479,-0.367803774799114,-0.402982611831744,0.0351788370326296,-1.11,2.14800000000001,0.0088910600879336,-0.0005219971582896,0.0,0.910000000000011,0.846428571428572,0.449999999999989,0.910000000000011,0.38000000000001,0.0800000000000125,0,0,0,0,False,0,1,2.71,0.586,2.124,102.35,102.3,102.45,101.85,fall,0.10800451785326004,fall,win,4999.999999999716
2014-02-19,-0.0017445664025586,-0.0004885197850512,0.0027972027972029,-0.0066217976552322,-0.0120378331900258,0.0661356504948105,103.4576,101.5053,100.20225,46.2659380692168,51.3513513513513,2.0765102303703,-0.335292623830441,-0.389444614231483,0.0541519904010425,-1.1576,2.09775000000001,0.0058651026392962,-0.0004053179541227,0.0,0.600000000000009,0.83357142857143,0.0499999999999971,0.600000000000009,0.100000000000009,0.450000000000003,1,0,0,0,False,0,2,2.73,0.586,2.144,102.29,102.27,102.41,101.66,fall,0.0640299990773201,fall,win,2000.0000000010232
2014-02-20,-0.001165076822253,-0.0002932551319648,0.0013947001394699,0.0059009944268385,-0.0060922541340296,-0.0369028752546978,103.436,101.5559,100.2025,52.2633744855967,38.4105960264898,1.83241457041939,-0.308393088184531,-0.373234309022093,0.0648412208375621,-1.16600000000001,2.0675,0.0073335288941038,0.0002384015199232,0.0,0.75,0.82,0.0200000000000102,0.75,0.11999999999999,0.609999999999999,1,0,0,0,False,0,3,2.76,0.586,2.174,102.27,102.49,102.8,102.24,rise,0.9635671973228455,rise,win,21999.999999999887
2014-02-21,0.0013851425238754,0.0021511684756037,-0.000928505106778,-0.0011406844106464,0.0078809106830122,0.0110484250117536,103.4216,101.6065,100.1993,69.3467336683417,49.3827160493824,1.85317480073945,-0.266253644721942,-0.351838176162063,0.0855845314401202,-0.931600000000003,2.29069999999999,0.0054639477022148,0.001412639130854,0.0,0.560000000000002,0.745714285714287,0.219999999999999,0.560000000000002,0.310000000000002,0.0300000000000011,0,0,0,0,False,0,4,2.73,0.586,2.144,102.44,102.49,102.67,102.16,rise,0.9145212173461914,rise,win,4999.999999999716
2014-02-24,-0.0001456027955736,0.0,-0.0004646840148697,0.0055467942791887,0.0112945264986968,-0.0072076261334572,103.4118,101.6645,100.2005,63.030303030303,63.492063492063,1.84549636740246,-0.230204181670402,-0.327511377263731,0.0973071955933286,-0.921800000000005,2.2895,0.0049760952288028,0.0011768132489635,0.0,0.510000000000005,0.71857142857143,0.0499999999999971,0.510000000000005,0.180000000000007,0.280000000000001,1,0,0,0,False,0,0,2.75,0.586,2.164,102.49,102.23,102.61,102.02,fall,0.09056880325078964,fall,win,25999.99999999909
2014-02-25,0.0007281199941751,-0.0025368328617425,-0.00139470013947,-0.0003785625439402,-0.0034364261168385,-0.0002341920374708,103.403,101.718,100.19915,61.5384615384616,70.1754385964918,1.70959398072696,-0.220077631625216,-0.306024628136028,0.0859469965108116,-1.17299999999999,2.03085,0.0057713000097818,-0.0002334878606309,0.0,0.590000000000003,0.695000000000001,0.259999999999991,0.590000000000003,0.120000000000005,0.210000000000008,0,0,0,0,False,0,1,2.7,0.586,2.114,102.21,102.35,102.6,102.1,rise,0.8742161393165588,rise,win,14000.000000000056
2014-02-26,-0.004220023282887,0.0011738237308029,0.0037243947858472,5.41008439731168e-05,-0.0043103448275861,0.0119465917076599,103.3646,101.7678,100.19535,54.3859649122807,70.1754385964915,1.71612292529625,-0.200063068124024,-0.284832316133627,0.084769248009603,-1.01460000000002,2.15464999999999,0.0048851978505129,9.89808425398531e-05,0.0,0.5,0.668571428571431,0.140000000000001,0.5,0.25,0.109999999999999,0,0,0,0,False,0,2,2.67,0.586,2.084,102.36,102.12,102.44,101.74,fall,0.04395835101604462,fall,win,23999.999999999487
2014-02-27,0.0016805494666081,-0.0022471910112358,-0.0018552875695732,0.005247497971328,0.0,-0.0023148148148148,103.3224,101.8062,100.196,45.7446808510639,37.36263736263751,1.63190686008443,-0.200449799647302,-0.267955812836362,0.0675060131890599,-1.2024,1.92400000000001,0.0068546807677242,-0.0002918063333143,0.0,0.700000000000003,0.645714285714288,0.239999999999995,0.700000000000003,0.0799999999999983,0.38000000000001,0,0,1,0,False,0,3,2.65,0.586,2.064,102.13,101.77,102.24,101.57,fall,0.10226954519748688,fall,win,35999.99999999994
2014-02-28,0.0064191407104821,-0.0034273403838622,-0.0065055762081784,0.0025293294586158,0.005194805194805,0.0178654292343386,103.2764,101.8381,100.19925,42.156862745097904,28.0991735537186,1.6604818577722,-0.22638869414962,-0.259642389099014,0.0332536949493939,-1.5064,1.57075,0.0065834725361108,-0.0014075081052075,0.0,0.670000000000002,0.648571428571432,0.359999999999999,0.670000000000002,0.109999999999999,0.200000000000003,0,0,0,0,False,0,4,2.66,0.586,2.074,101.47,101.44,101.65,101.19,fall,0.07253169268369675,fall,win,3000.0000000001137
2014-03-03,-0.004566210045662,-0.0032426058759948,0.0037418147801684,-0.007032046808739,-0.0232558139534883,0.0549350353316618,103.223,101.866,100.2007,30.4635761589402,22.5165562913904,1.41356436376873,-0.270456048028677,-0.261805120884946,-0.008650927143731,-1.78300000000002,1.2393,0.0045347003154574,-0.0020560292804064,0.0,0.579999999999998,0.645714285714288,0.0300000000000011,0.460000000000008,0.180000000000007,0.25,1,0,0,0,False,0,0,2.6,0.605,1.995,101.43,102.2,102.27,101.38,rise,0.9758759140968323,rise,win,76999.9999999996
2014-03-04,0.0004368719965051,0.0074921135646688,0.0009319664492078,0.0140555735755218,0.0255731922398589,-0.0656871218668971,103.183,101.906,100.2004,45.7765667574931,42.9268292682928,1.33452771065902,-0.241272851802535,-0.257698667068464,0.0164258152659292,-0.98299999999999,1.99960000000002,0.0087084148727984,-5.02399951242127e-05,0.0,0.890000000000001,0.677857142857146,0.769999999999996,0.890000000000001,0.0699999999999931,0.0500000000000113,0,1,0,0,False,0,1,2.7,0.605,2.095,102.19,102.29,102.54,102.08,rise,0.9719773530960083,rise,win,10000.000000000853
2014-03-05,-0.0005822416302766,0.000880626223092,-0.0004655493482309,0.0009062799872053,-0.0111779879621668,-0.0009250693802034,103.1416,101.9413,100.2062,52.0588235294118,45.3271028037386,1.16075293168333,-0.208479488926741,-0.247854831440119,0.0393753425133779,-0.851599999999991,2.0838,0.004497018281357,-0.0001088794966664,0.0,0.460000000000008,0.650000000000003,0.100000000000009,0.460000000000008,0.25,0.109999999999999,0,0,0,0,False,0,2,2.7,0.605,2.095,102.28,103.06,103.15,102.23,rise,0.91203373670578,rise,win,78000.00000000012
